title,price,description,in_stock,image_link
Смартфон Xiaomi Redmi Note 11 Pro 5G 6/64GB Graphite Gray,29 090 сом,"Операционная система: MIUI 13  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 64 GB  / Основная камера: 108 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3541_0_1.jpg
Смартфон ZTE Nubia Red Magic 6R 5G 12/256GB Mercury,45 490 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 256 GB  / Основная камера: 64 Mpx + 8 Mpx + 5 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3362_0_1.jpg
Смартфон Xiaomi Redmi Note 11 4/64GB Twilight Blue,18 190 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,4″ - 16,25 см  / Объем встроенной памяти: 64 GB  / Основная камера: 50 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 13 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3392_4_1.jpg
Смартфон Samsung Galaxy S21+ 8/256GB Violet,69 090 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 64 Mpx + 12 Mpx  / Фронтальная камера: 10 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2795_8_1.jpg
Смартфон HUAWEI Y6P 3/64GB Phantom Purple,16 390 сом,"Операционная система: EMUI 10.1 (на базе Android 10)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,3″ - 16 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 5 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3104_9_1.jpg
Смартфон Samsung Galaxy A13 64GB Black,16 390 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,6″ - 16,76 см  / Объем встроенной памяти: 64 GB  / Основная камера: 50 Mpx + 5 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3510_8_6.png
Смартфон Tecno Pop 2F 1/16Gb DawnBlue (B1F/B1G),5 090 сом,"Операционная система: Android 8.0 Oreo Go Edition  / Количество SIM-карт: 2  / Диагональ дисплея: 5,45″ - 13,84 см  / Объем встроенной памяти: 16 GB  / Основная камера: 5 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2900_3_1.jpg
Смартфон Xiaomi Redmi 10C 4/64GB Graphite Gray,14 590 сом,"Операционная система: MIUI 13  / Количество SIM-карт: 2  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 64 GB  / Основная камера: 50 Mpx + 2 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3563_8_1.jpg
Смартфон HUAWEI Y6P 3/64GB Midnight Black,16 390 сом,"Операционная система: EMUI 10.1 (на базе Android 10)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,3″ - 16 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 5 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2470_0_1.jpg
Смартфон ОРРО A54 4/128GB Crystal Black,23 690 сом,"Операционная система: ColorOS 7.2 на базе Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 128 GB  / Основная камера: 13 Mpx + 2Mpx + 2Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3033_6_1.jpg
Смартфон Samsung Galaxy A23 128GB Black,23 690 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,6″ - 16,76 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 5 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3526_7_1.jpg
Смартфон Xiaomi 11T 8/128GB Meteorite Gray,39 990 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 5 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3350_0_1.jpg
Смартфон ZTE Blade A51 2/32Gb Dark Grey,7 290 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3210_0_6.png
Смартфон ОРРО A54 4/128GB Starry Blue,23 690 сом,"Операционная система: ColorOS 7.2 на базе Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 128 GB  / Основная камера: 13 Mpx + 2Mpx + 2Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3034_5_1.jpg
Смартфон Xiaomi Redmi 10 4/64GB Pebble White,14 590 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,55″ - 16,64 см  / Объем встроенной памяти: 64 GB  / Основная камера: 50 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3115_8_1.jpg
Смартфон Xiaomi Redmi Note 9 3/64GB Midnight Grey (NFC),18 090 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 64 GB  / Основная камера: 48 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 13 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2897_7_6.png
Смартфон Realme 9i 6/128GB Blue,23 690 сом,"Операционная система: Realme UI 2.0 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,59″ - 16,74 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3463_0_6.png
Смартфон Vivo Y53s 6/128GB Deep Sea Blue,18 190 сом,"Операционная система: Funtouch OS 11.1  / Количество SIM-карт: 2  / Диагональ дисплея: 6,58″ - 16,71 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3608_0_1.jpg
Нет названия,Нет цены,Нет описания,Нет в наличии,Нет картинки
Смартфон Vivo V20SE Gravity Black,24 590 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,44″ - 16,35 см  / Объем встроенной памяти: 128 GB  / Основная камера: 48 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2765_8_1.jpg
Смартфон Vivo V23 8/128GB Stardust Black,45 490 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,44″ - 16,35 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 50 Mpx + 8 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3464_0_6.png
Смартфон Nokia C20 TA-1352 2/32GB Blue,9 090 сом,"Операционная система: Android  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 32 GB  / Основная камера: 5 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3096_0_6.png
Смартфон Realme 7i 4/128GB Green,21 490 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2878_4_6.png
Смартфон HUAWEI Nova 9 8/128GB Starry Blue,54 590 сом,"Операционная система: EMUI 12.0  / Количество SIM-карт: 2  / Диагональ дисплея: 6,57″ - 16,68 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 32 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3390_6_1.jpg
Смартфон HUAWEI Y9 Prime 2019 Emerald Green,22 890 сом,"Операционная система: Android 9.0  / Количество SIM-карт: 2  / Диагональ дисплея: 6,59″ - 16,74 см  / Объем встроенной памяти: 128 GB  / Основная камера: 16 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2293_1_1.jpg
Смартфон Vivo Y33s 4/128Gb Midday Dream,19 990 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,58″ - 16,71 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3356_0_6.png
Смартфон Tecno Pop 4 Pro BC3 1/16GB Pearl Black,9 590 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 16 GB  / Основная камера: 8 Mpx + 0.3 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2907_0_1.jpg
Смартфон Vivo V23e 8/128GB Dancing Waves,27 290 сом,"Операционная система: Funtouch OS 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,44″ - 16,35 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 50 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3459_6_1.jpg
Смартфон HUAWEI Nova 8i Neumann-L21D NEN-LX1 Moonlight Silver,34 590 сом,"Операционная система: EMUI 11.0.1 (на базе Android Q)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3339_8_1.jpg
Смартфон Vivo Y21 4/64GB Diamond Glow,15 490 сом,"Операционная система: Funtouch OS 11.1  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3357_2_1.jpg
Смартфон Poco M4 Pro 5G 6/128GB Cool Blue,25 490 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,6″ - 16,76 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 8 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3366_7_1.jpg
Смартфон Realme C11 2/32GB 2021 Blue,9 990 сом,"Операционная система: Realme UI 2.0 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 32 GB  / Основная камера: 8 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3038_8_6.png
Смартфон Samsung Galaxy A23 64GB Black,19 990 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,6″ - 16,76 см  / Объем встроенной памяти: 64 GB  / Основная камера: 50 Mpx + 5 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3523_7_1.jpg
Смартфон Realme 6i 3/64GB White Milk,17 490 сом,"Операционная система: Realme UI (на базе Android 10)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 64 GB  / Основная камера: 48 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2859_5_1.jpg
Смартфон Tecno Spark 6 Go KE5 2/32GB Ice Jadeite,10 090 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2910_5_1.jpg
Смартфон Xiaomi 11T 8/128GB Celestial Blue,39 990 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 5 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3349_0_1.jpg
Смартфон Realme 7i 4/128GB Blue,21 490 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2877_4_6.png
Смартфон Vivo Y1s Ripple Blue,10 990 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,23″ - 15,82 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2677_3_1.jpg
Смартфон Tecno Pop 4 Pro BC3 1/16GB Cosmic Shine,9 590 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 16 GB  / Основная камера: 8 Mpx + 0.3 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2906_4_1.jpg
Смартфон HUAWEI Nova 9 SE 8/128GB Midnight Black,25 490 сом,"Операционная система: EMUI 12.0  / Количество SIM-карт: 2  / Диагональ дисплея: 6,78″ - 17,22 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3507_10_1.jpg
Смартфон HUAWEI Nova 9 8/128GB Black,54 590 сом,"Операционная система: EMUI 12.0  / Количество SIM-карт: 2  / Диагональ дисплея: 6,57″ - 16,68 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 32 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3389_6_1.jpg
Нет названия,Нет цены,Нет описания,Нет в наличии,Нет картинки
Смартфон Realme C25 4/64GB Black,14 590 сом,"Операционная система: Realme UI 2.0 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 64 GB  / Основная камера: 48 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3039_2_1.jpg
Смартфон ZTE Blade A71 3/64Gb Blue,9 090 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 64 GB  / Основная камера: 16 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3212_0_6.png
Смартфон Apple iPhone SE 64GB 2020 (PRODUCT)RED Slim Box,56 390 сом,"Операционная система: iOS 13  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2745_0_1.jpg
Смартфон OPPO Reno5 8/128GB Fantasy Silver,36 390 сом,"Операционная система: ColorOS 11.1 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,4″ - 16,25 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 44 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2929_8_1.jpg
Смартфон Vivo Y31 4/64GB Racing Black,18 190 сом,"Операционная система: Funtouch OS 11.1  / Количество SIM-карт: 2  / Диагональ дисплея: 6,59″ - 16,74 см  / Объем встроенной памяти: 64 GB  / Основная камера: 48 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3051_7_1.jpg
Смартфон Vivo Y21 4/64GB Metallic Blue,15 490 сом,"Операционная система: Funtouch OS 11.1  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3358_3_1.jpg
Смартфон Tecno POP 2F 1/16GB Midnight Black (B1F/B1G),5 090 сом,"Операционная система: Android 8.0 Oreo Go Edition  / Количество SIM-карт: 2  / Диагональ дисплея: 5,45″ - 13,84 см  / Объем встроенной памяти: 16 GB  / Основная камера: 5 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2901_4_1.jpg
Смартфон ОРРО A96 6/128GB Starry Black,29 090 сом,"Операционная система: ColorOS 11.1 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3533_0_1.jpg
Смартфон Xiaomi Redmi Note 11 Pro 5G 6/64GB Atlantic Blue,29 090 сом,"Операционная система: MIUI 13  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 64 GB  / Основная камера: 108 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3539_0_1.jpg
Смартфон ОРРО A54 4/64GB Starry Blue,19 990 сом,"Операционная система: ColorOS 7.2 на базе Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 2Mpx + 2Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3032_0_1.jpg
Смартфон Tecno Spark 6 Go KE5j 3/64GB Ice Jadeite,10 390 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2912_6_1.jpg
Смартфон Samsung Galaxy A13 128GB Blue,19 990 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,6″ - 16,76 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 5 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3512_8_6.png
Смартфон Realme C21Y 4/64GB Black,13 890 сом,"Операционная система: Realme UI 2.0 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,53″ - 16,59 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 2Mpx + 2Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3111_0_1.jpg
Смартфон ZTE Blade A3 2020 1/32GB Dark Grey,7 290 сом,"Операционная система: Android 9.0  / Количество SIM-карт: 2  / Диагональ дисплея: 5,45″ - 13,84 см  / Объем встроенной памяти: 32 GB  / Основная камера: 8 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3209_0_6.png
Смартфон Xiaomi Redmi Note 11 Pro 8/128GB Star Blue,29 090 сом,"Операционная система: MIUI 13  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3544_0_1.jpg
Смартфон OPPO Reno5 8/128GB Starry Black,36 390 сом,"Операционная система: ColorOS 11.1 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,4″ - 16,25 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 44 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2928_1_1.jpg
Смартфон Xiaomi Redmi Note 11S 6/128GB Pearl White,21 890 сом,"Операционная система: MIUI 13  / Количество SIM-карт: 2  / Диагональ дисплея: 6,4″ - 16,25 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3469_0_1.jpg
Смартфон Vivo V23e 8/128GB Moonlight Shadow,27 290 сом,"Операционная система: Funtouch OS 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,44″ - 16,35 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 50 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3458_6_1.jpg
Смартфон Xiaomi Redmi Note 11 Pro 8/128GB Polar White,29 090 сом,"Операционная система: MIUI 13  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3543_0_1.jpg
Смартфон Xiaomi 11T 8/256GB Celestial Blue,45 490 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 256 GB  / Основная камера: 108 Mpx + 8 Mpx + 5 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3351_0_1.jpg
Смартфон Xiaomi Redmi 10C 4/128GB Graphite Gray,15 490 сом,"Операционная система: MIUI 13  / Количество SIM-карт: 2  / Диагональ дисплея: 6,7″ - 17,02 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 2 Mpx  / Фронтальная камера: 5 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3565_0_1.jpg
Смартфон Samsung Galaxy A23 128GB White,23 690 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,6″ - 16,76 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 5 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3528_7_1.jpg
Нет названия,Нет цены,Нет описания,Нет в наличии,Нет картинки
Смартфон Samsung Galaxy A53 6/128GB Blue,36 390 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 12 Mpx + 5 Mpx+ 5 Mpx  / Фронтальная камера: 32 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3515_0_6.png
Смартфон HUAWEI Nova Y70 4/128GB Midnight Black,19 990 сом,"Операционная система: EMUI 12 (на базе Android)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,75″ - 17,14 см  / Объем встроенной памяти: 128 GB  / Основная камера: 48 Mpx + 5 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3568_4_6.png
Смартфон ОРРО A57s 4/64GB Sky Blue,19 090 сом,"Операционная система: Android 12  / Количество SIM-карт: 2  / Диагональ дисплея: 6,56″ - 16,66 см  / Объем встроенной памяти: 64 GB  / Основная камера: 50 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3842_4_6.png
