title,price,description,in_stock,image_link
Смартфон Xiaomi Redmi Note 10 Pro 8/128GB Glacier Blue,29 090 сом,"Операционная система: MIUI 12 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 5 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2935_2_6.png
Нет названия,Нет цены,Нет описания,Нет в наличии,Нет картинки
Смартфон Apple iPhone 7 32GB Silver,27 290 сом,"Операционная система: iOS 10  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 32 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_1072_0_1.jpg
Смартфон Apple iPhone 7 32GB Rose Gold,27 290 сом,"Операционная система: iOS 10  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 32 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_1090_0_1.jpg
Смартфон Apple iPhone XR 64GB Black Slim Box,50 990 сом,"Операционная система: iOS 12  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2752_3_1.jpg
Смартфон Xiaomi Redmi Note 10 Pro 8/128GB Onyx Gray,29 090 сом,"Операционная система: MIUI 12 (на базе Android 11)  / Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 108 Mpx + 8 Mpx + 5 Mpx + 2 Mpx  / Фронтальная камера: 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2934_2_6.png
Смартфон Apple iPhone 12 64GB Blue,69 090 сом,"Операционная система: iOS 14  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2594_0_1.jpg
Смартфон Apple iPhone XR 64GB (PRODUCT) RED,50 990 сом,"Операционная система: iOS 12  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_1744_0_1.jpg
Смартфон Apple iPhone 13 4/128GB Blue,81 890 сом,"Операционная система: iOS 15  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3127_4_1.jpg
Смартфон Apple iPhone 12 64GB Black,69 090 сом,"Операционная система: iOS 14  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2648_6_1.jpg
